分类: 📺央视频道, 名称: CGTN阿语, 有效: 1, IPv4: 0, IPv6: 1, 最小延迟: 1898 ms, 最高速率: 4.20 M/s, 平均速率: 4.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN俄语, 有效: 2, IPv4: 1, IPv6: 1, 最小延迟: 1668 ms, 最高速率: 3.00 M/s, 平均速率: 2.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 12, IPv6: 3, 最小延迟: 114 ms, 最高速率: 8.08 M/s, 平均速率: 6.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🛰️卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 11, IPv6: 3, 最小延迟: 131 ms, 最高速率: 8.04 M/s, 平均速率: 2.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 🛰️卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 10, IPv6: 6, 最小延迟: 128 ms, 最高速率: 8.08 M/s, 平均速率: 5.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 8, IPv6: 5, 最小延迟: 140 ms, 最高速率: 7.87 M/s, 平均速率: 5.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 黑龙江卫视, 有效: 5, IPv4: 10, IPv6: 5, 最小延迟: 114 ms, 最高速率: 8.74 M/s, 平均速率: 5.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 12, IPv6: 3, 最小延迟: 116 ms, 最高速率: 8.69 M/s, 平均速率: 8.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 11, IPv6: 4, 最小延迟: 122 ms, 最高速率: 8.59 M/s, 平均速率: 7.92 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.86, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 内蒙古卫视, 有效: 4, IPv4: 10, IPv6: 4, 最小延迟: 118 ms, 最高速率: 8.18 M/s, 平均速率: 6.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 11, IPv6: 3, 最小延迟: 115 ms, 最高速率: 7.97 M/s, 平均速率: 6.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 10, IPv6: 5, 最小延迟: 121 ms, 最高速率: 8.09 M/s, 平均速率: 5.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 10, IPv6: 5, 最小延迟: 117 ms, 最高速率: 9.11 M/s, 平均速率: 5.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 陕西卫视, 有效: 5, IPv4: 8, IPv6: 2, 最小延迟: 118 ms, 最高速率: 7.99 M/s, 平均速率: 5.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 山西卫视, 有效: 4, IPv4: 4, IPv6: 5, 最小延迟: 122 ms, 最高速率: 8.77 M/s, 平均速率: 8.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 10, IPv6: 5, 最小延迟: 124 ms, 最高速率: 8.85 M/s, 平均速率: 5.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 12, IPv6: 2, 最小延迟: 117 ms, 最高速率: 9.56 M/s, 平均速率: 7.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.29, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 12, IPv6: 2, 最小延迟: 125 ms, 最高速率: 8.77 M/s, 平均速率: 7.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 新疆卫视, 有效: 4, IPv4: 9, IPv6: 6, 最小延迟: 113 ms, 最高速率: 7.96 M/s, 平均速率: 7.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.62, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 9, IPv6: 4, 最小延迟: 120 ms, 最高速率: 8.79 M/s, 平均速率: 7.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.43, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 12, IPv6: 5, 最小延迟: 109 ms, 最高速率: 8.90 M/s, 平均速率: 6.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 云南卫视, 有效: 5, IPv4: 10, IPv6: 5, 最小延迟: 117 ms, 最高速率: 8.38 M/s, 平均速率: 5.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.43, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 9, IPv6: 5, 最小延迟: 123 ms, 最高速率: 8.74 M/s, 平均速率: 6.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 8, IPv6: 5, 最小延迟: 119 ms, 最高速率: 7.95 M/s, 平均速率: 4.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 广东卫视, 有效: 6, IPv4: 10, IPv6: 6, 最小延迟: 126 ms, 最高速率: 7.79 M/s, 平均速率: 5.31 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 🛰️卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 10, IPv6: 6, 最小延迟: 103 ms, 最高速率: 9.30 M/s, 平均速率: 8.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 11, IPv6: 3, 最小延迟: 112 ms, 最高速率: 9.23 M/s, 平均速率: 6.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
